,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
1123,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,145,2016,2016-04-01,Intoxication
1124,Total,Other accidents involving material damage,188511,2017,2017-09-01,Other Material Damage
1125,On motorways/freeways,Other accidents involving material damage,10571,2021,2021-06-01,Other Material Damage
1126,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3514,2013,2013-07-01,Material Damage
1127,Total,Serious acc. invol. mat.damage in the nearer sense,4391,2020,2020-03-01,Material Damage
1128,Total,Other accidents involving intoxication,1417,2018,2018-12-01,Intoxication
1129,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5623,2012,2012-12-01,Personal Injury
1130,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3033,2015,2015-08-01,Material Damage
1131,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,31675,2016,2016-06-01,Other Material Damage
1132,Total,Serious acc. invol. mat.damage in the nearer sense,4026,2020,2020-05-01,Material Damage
1133,Inside built-up areas,Total,130339,2015,2015-02-01,Total
1134,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,131,2014,2014-02-01,Intoxication
1135,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2456,2021,2021-02-01,Material Damage
1136,Total,Total,190400,2018,2018-02-01,Total
1137,Inside built-up areas,Personal injury accidents,21436,2021,2021-06-01,Personal Injury
1138,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6583,2015,2015-10-01,Personal Injury
1139,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,30053,2024,2024-03-01,Other Material Damage
1140,Total,Total,194523,2011,2011-08-01,Total
1141,Total,Serious acc. invol. mat.damage in the nearer sense,6567,2012,2012-07-01,Material Damage
1142,Inside built-up areas,Other accidents involving intoxication,979,2022,2022-04-01,Intoxication
1143,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7951,2015,2015-07-01,Personal Injury
1144,On motorways/freeways,Other accidents involving material damage,10023,2020,2020-10-01,Other Material Damage
1145,Inside built-up areas,Other accidents involving intoxication,1150,2019,2019-10-01,Intoxication
1146,Total,Other accidents involving material damage,174955,2021,2021-12-01,Other Material Damage
1147,On motorways/freeways,Other accidents involving intoxication,50,2012,2012-06-01,Intoxication
1148,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4235,2013,2013-10-01,Material Damage
1149,On motorways/freeways,Other accidents involving material damage,12361,2017,2017-12-01,Other Material Damage
1150,On motorways/freeways,Other accidents involving intoxication,64,2011,2011-10-01,Intoxication
1151,Inside built-up areas,Other accidents involving intoxication,1032,2015,2015-09-01,Intoxication
1152,Total,Serious acc. invol. mat.damage in the nearer sense,7037,2017,2017-11-01,Material Damage
1153,Inside built-up areas,Other accidents involving material damage,119282,2024,2024-02-01,Other Material Damage
1154,Total,Total,176251,2015,2015-02-01,Total
1155,Inside built-up areas,Personal injury accidents,11844,2024,2024-02-01,Personal Injury
1156,Total,Personal injury accidents,30494,2011,2011-09-01,Personal Injury
1157,Outside built-up areas (excl. motorways/freeways),Total,45239,2019,2019-07-01,Total
1158,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,43304,2017,2017-11-01,Other Material Damage
1159,On motorways/freeways,Personal injury accidents,1552,2019,2019-03-01,Personal Injury
1160,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1124,2021,2021-05-01,Material Damage
1161,Inside built-up areas,Total,166403,2015,2015-11-01,Total
1162,On motorways/freeways,Total,9287,2020,2020-12-01,Total
1163,Outside built-up areas (excl. motorways/freeways),Total,46506,2015,2015-10-01,Total
1164,On motorways/freeways,Personal injury accidents,1636,2024,2024-06-01,Personal Injury
1165,Inside built-up areas,Other accidents involving material damage,143435,2019,2019-03-01,Other Material Damage
1166,On motorways/freeways,Total,11056,2011,2011-03-01,Total
1167,Total,Other accidents involving material damage,170712,2019,2019-02-01,Other Material Damage
1168,Total,Other accidents involving intoxication,1235,2019,2019-04-01,Intoxication
1169,Outside built-up areas (excl. motorways/freeways),Total,42873,2013,2013-05-01,Total
1170,Inside built-up areas,Other accidents involving material damage,140163,2023,2023-05-01,Other Material Damage
1171,On motorways/freeways,Personal injury accidents,1250,2015,2015-02-01,Personal Injury
1172,Total,Other accidents involving intoxication,1410,2019,2019-11-01,Intoxication
1173,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,651,2011,2011-03-01,Material Damage
1174,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,743,2016,2016-03-01,Material Damage
1175,Total,Personal injury accidents,26515,2022,2022-10-01,Personal Injury
1176,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1096,2012,2012-02-01,Material Damage
1177,Inside built-up areas,Other accidents involving material damage,112189,2022,2022-01-01,Other Material Damage
1178,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1038,2019,2019-10-01,Material Damage
1179,Inside built-up areas,Total,171842,2019,2019-06-01,Total
1180,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7137,2019,2019-08-01,Personal Injury
1181,On motorways/freeways,Other accidents involving material damage,10288,2022,2022-11-01,Other Material Damage
1182,On motorways/freeways,Other accidents involving material damage,7381,2020,2020-12-01,Other Material Damage
1183,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,38132,2015,2015-10-01,Other Material Damage
1184,Total,Serious acc. invol. mat.damage in the nearer sense,6537,2011,2011-09-01,Material Damage
1185,Inside built-up areas,Other accidents involving material damage,125689,2014,2014-04-01,Other Material Damage
1186,Inside built-up areas,Other accidents involving material damage,125556,2015,2015-08-01,Other Material Damage
1187,On motorways/freeways,Other accidents involving intoxication,85,2022,2022-11-01,Intoxication
1188,Total,Other accidents involving material damage,184972,2017,2017-07-01,Other Material Damage
1189,Inside built-up areas,Total,150776,2018,2018-01-01,Total
1190,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1012,2021,2021-08-01,Material Damage
1191,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33140,2022,2022-09-01,Other Material Damage
1192,Inside built-up areas,Other accidents involving material damage,125841,2023,2023-07-01,Other Material Damage
1193,On motorways/freeways,Other accidents involving intoxication,65,2021,2021-11-01,Intoxication
1194,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2990,2022,2022-05-01,Material Damage
1195,Inside built-up areas,Other accidents involving intoxication,943,2016,2016-03-01,Intoxication
1196,Inside built-up areas,Other accidents involving material damage,129189,2013,2013-07-01,Other Material Damage
1197,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2711,2022,2022-07-01,Material Damage
1198,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1897,2016,2016-11-01,Material Damage
1199,Inside built-up areas,Other accidents involving material damage,136170,2013,2013-10-01,Other Material Damage
1200,On motorways/freeways,Other accidents involving intoxication,50,2013,2013-06-01,Intoxication
1201,Inside built-up areas,Total,156092,2018,2018-08-01,Total
1202,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34089,2020,2020-11-01,Other Material Damage
1203,Total,Total,210596,2021,2021-11-01,Total
1204,Inside built-up areas,Other accidents involving material damage,143187,2015,2015-11-01,Other Material Damage
1205,Outside built-up areas (excl. motorways/freeways),Total,41849,2023,2023-01-01,Total
1206,On motorways/freeways,Personal injury accidents,1810,2011,2011-10-01,Personal Injury
1207,On motorways/freeways,Personal injury accidents,1546,2011,2011-12-01,Personal Injury
1208,Outside built-up areas (excl. motorways/freeways),Total,48362,2019,2019-05-01,Total
1209,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6994,2021,2021-07-01,Personal Injury
1210,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7175,2021,2021-09-01,Personal Injury
1211,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1307,2016,2016-08-01,Material Damage
1212,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,31012,2020,2020-08-01,Other Material Damage
1213,Total,Serious acc. invol. mat.damage in the nearer sense,5554,2022,2022-10-01,Material Damage
1214,Inside built-up areas,Other accidents involving intoxication,1113,2014,2014-10-01,Intoxication
1215,Inside built-up areas,Personal injury accidents,18225,2019,2019-05-01,Personal Injury
1216,Outside built-up areas (excl. motorways/freeways),Total,40410,2024,2024-06-01,Total
1217,Total,Personal injury accidents,27665,2014,2014-10-01,Personal Injury
1218,Total,Other accidents involving intoxication,1123,2022,2022-01-01,Intoxication
1219,On motorways/freeways,Other accidents involving intoxication,33,2020,2020-04-01,Intoxication
1220,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5568,2019,2019-11-01,Personal Injury
1221,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,178,2019,2019-11-01,Intoxication
1222,Inside built-up areas,Total,143607,2012,2012-08-01,Total
1223,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36883,2015,2015-12-01,Other Material Damage
1224,Total,Other accidents involving material damage,194381,2019,2019-04-01,Other Material Damage
1225,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1471,2022,2022-11-01,Material Damage
1226,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33507,2015,2015-09-01,Other Material Damage
1227,Inside built-up areas,Other accidents involving intoxication,989,2023,2023-04-01,Intoxication
1228,Total,Serious acc. invol. mat.damage in the nearer sense,6111,2012,2012-05-01,Material Damage
1229,Inside built-up areas,Other accidents involving intoxication,1140,2011,2011-09-01,Intoxication
1230,Total,Personal injury accidents,19273,2021,2021-12-01,Personal Injury
1231,On motorways/freeways,Other accidents involving intoxication,47,2012,2012-10-01,Intoxication
1232,Inside built-up areas,Other accidents involving material damage,133567,2020,2020-09-01,Other Material Damage
1233,Inside built-up areas,Other accidents involving intoxication,1079,2015,2015-10-01,Intoxication
1234,Inside built-up areas,Personal injury accidents,17444,2015,2015-04-01,Personal Injury
1235,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3292,2016,2016-05-01,Material Damage
1236,On motorways/freeways,Total,15710,2023,2023-11-01,Total
1237,Total,Personal injury accidents,30255,2012,2012-05-01,Personal Injury
1238,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1926,2012,2012-10-01,Material Damage
1239,On motorways/freeways,Other accidents involving intoxication,64,2024,2024-01-01,Intoxication
1240,Total,Other accidents involving material damage,178702,2012,2012-11-01,Other Material Damage
1241,Total,Other accidents involving intoxication,1085,2024,2024-01-01,Intoxication
1242,Total,Total,208689,2018,2018-01-01,Total
1243,Inside built-up areas,Other accidents involving intoxication,959,2017,2017-03-01,Intoxication
1244,Total,Other accidents involving material damage,179723,2024,2024-09-01,Other Material Damage
1245,Inside built-up areas,Total,145317,2013,2013-03-01,Total
1246,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1784,2015,2015-12-01,Material Damage
1247,Inside built-up areas,Other accidents involving intoxication,1150,2019,2019-08-01,Intoxication
1248,Total,Serious acc. invol. mat.damage in the nearer sense,6367,2019,2019-10-01,Material Damage
1249,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1996,2015,2015-01-01,Material Damage
1250,Inside built-up areas,Other accidents involving intoxication,1105,2021,2021-07-01,Intoxication
1251,Total,Other accidents involving intoxication,1372,2011,2011-09-01,Intoxication
1252,Inside built-up areas,Personal injury accidents,21758,2017,2017-06-01,Personal Injury
